title,date,source,link,month
Zuckerberg grilled in landmark social media trial over teen mental health - The Guardian,2026-02-18 08:00:00,The Guardian,https://news.google.com/rss/articles/CBMikAFBVV95cUxQOE9ydEZ4a0dMVUgzbGZKSkRqUjlrSS1GbXpjaVUwNVVEN2FuYXk4RlVWMXJCVDNMcHo3Yk1ZeFpmSHdUQ0dBd2RNMkRzVGcyd29fUXFpb3NOd2JIREpJWDlscG1PeFU3ckVVd2JlR1pjUllkTEh1ZGpYX1R6dG5nX2ttZ2RFWW1qRHRUZzJEcTQ?oc=5,2026-02
Study links social media addiction to worse student mental health and points to family as a key buffer - News-Medical,2026-03-25 07:00:00,News-Medical,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNZVZvVzh3WnZpMlNsRVlQeDNUcXhodGdCQ29xV1JHay1kd2trVmFSX1dzaXlRalR1SFMtQ3dBVFNoNUlJd0dxRHlrLTVVb1p2Nk5PMzN4QXpzVjhfQ3ltM3dXbEpFZlJHWEl0REVraTBkd3ZMc3ZjazZkU09jdjdoWWpFRDlXRDJxU1dyaGh3Z0dIWW9yczdDVFJXTmF2cjhoSkpxWkE3NGxBckR0OWU3Zmo2S3A2R01uTno5S0Y5cDl3ckduN3NJZWlWSlZqcmVtbjBibUw5ajYwclRGczlmNjhZUkc?oc=5,2026-03
Study links childhood social media use with anxiety and depression - The Independent,2026-03-23 07:00:00,The Independent,https://news.google.com/rss/articles/CBMipgFBVV95cUxNTEt0b1k5YWk2YlNpYzRlVFg0bXc0Zk1WR0hoTGJYdS1LZEI1V2R6RGJXTm1lYmtELTZQd19zQlFLN0d3QUN2Mmk2UEZCWFhRenZETEdyX2NtUnk5bmM0emowd1UzUXJpOGd1VTQ1S3k4OFZxQnVFZ19EZWZCcjlrWjE3TlRUVXBIZmFYbVJyOVZFd3lnUmFQUVQyRjBUX2hoTHc2dmpn?oc=5,2026-03
Researchers Embrace Complexity in Social Media and Teen Mental Health - Tech Policy Press,2026-02-20 08:00:00,Tech Policy Press,https://news.google.com/rss/articles/CBMimgFBVV95cUxNMzRfd0JZVXFQQTRqZThqOEVzZGFPdl9QZVdaVDd4WUJPekZXeTIxQi1JcTFZdW0wV2sxNWtlY1BGRk1xLWJhRElhRWE4aHpPcDVEWlBXUHpNa0FhcVNNOV9kSU0wYktJcU52YlhpQk1PeXJVTGw1blVFM0g2eGd0Z0pYcGRVdXc0bFZCdF9HOG9ZMmdMdTVQV05n?oc=5,2026-02
Teens struggling with mental health conditions use socials differently - British Psychological Society,2025-09-03 07:00:00,British Psychological Society,https://news.google.com/rss/articles/CBMipwFBVV95cUxNQ1UzWXlpYkQydk5TOE5Rd0NiWmtkcXJzVjAxR3IyMUd5bE0yd3NNZWRWOE9xZTlVTmxRQ3ZMNzRZNmR2Zy14SjhPc2sxdXFUWHVaaUNVaW5GckNzSmx6QkFsaGMyTHpuMXJGbEhIVC11cVQxLXpuWmRTa29FNk9UN1Z0eHZqZFU4X21XcmZxWDkwMXFFTDI2b3FVX2RLSThmWFd6YVNfMA?oc=5,2025-09
Study: Social media and gaming don’t endanger teen mental health - MediaCat UK - MediaCat UK,2026-01-16 08:00:00,MediaCat UK,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPUEVMbTd2UHFkN3MzZ2pXUnhBenNhb3lzVlhTMHp6WWMyd1pUNlFFQXFKa0FSMEp5UmctNjA5S0dYSEFBZ19HS1VsLUxCU0ZWTzBMN3A0dzRTa0hOSTd5YTVyZzNmSXNFQng4OHlKMmlnaFB5d25ZajZLMmszbF9Pa1R1NVVFam9RdFRz0gGQAUFVX3lxTE1tTVZxN25uWDJERzVWWlNKUEh1V3EtSzJWc2dkUFE3ZjF0NHdtNGVtUnY2SnhUTDV6OEhoNGNSZzVkc2s4d19HQVV6OWhRT2I2U2RWSGY3YVJ0OFVKbXQwaElLc1lQam0wN3VfN1lCcXpReDFmUG8zeEt2YlZ3Z0N2dWRieEdhTWUtVGhub29zNw?oc=5,2026-01
Precise time on social media sparks mental health problem in children - Yorkshire Live,2026-03-23 07:00:00,Yorkshire Live,https://news.google.com/rss/articles/CBMilgFBVV95cUxQSGZHa1hwR25ZOGxEZmh0R2RyaEpCMTUwSWJuZ0ZuWHRfczlFS2c3aXFZQTB0MFhieEtvUEkzZVFxRmViMzdiM2ZXWUFJcmF5X003Z2Q4b09zdGpsY21Sc1RQb2RaVTl4a2F2VHBfeHYwRW5sdmxVdllwUVdSZGJFQ0NqRlZwSjJMU2RZMzBnYngtMHN1Y3fSAZsBQVVfeXFMT2lVU2lMWnhRUnRQRF9VQUhvQjZ1Mk85eUlJNkdVcWxZWnlzZHN2UEVGQ3hMd2tzekJhckh5TGhicHdFN255R3IxcmZtdjlQcEtrSWplTVZZVEtDTmN0TUw5TmxnTFpkZUtNR1BjVDRVcUJMUWdNNkI3WFN6S1htLUVRVWlWOGRwbnBMQ2t1ZUswWkpqbWU4dnZsWEk?oc=5,2026-03
What the research tells us about social media and teen mental health: a Q&A with Jonathan Platt - University of Iowa College of Public Health,2026-04-21 07:00:00,University of Iowa College of Public Health,https://news.google.com/rss/articles/CBMi2AFBVV95cUxPdl9LWFZHTG11YWJxUDVIV19wY2dXQnhBZW9pR25lMUUzemlSUVBMUk5KVmlxbmdQWF93eVNwU1dsVVc3UzhEdExEY3RBRlE1UkllN0dOT3JQNFM3T0xTZnR1bUZreDZXdFlkcFNvN3BFdmhNWnB6TUhYOEg1VTBjc1VBQ3Y5Ylg5WUlsQUN1anViWE5OekhqdXgybmVtSU82eWI2RVJUZUlkVWVnTEJHdm1XcURJRjhPTTIzaTFwWnluQXBMNUtpa1lzYWpoY2VzS1daSm1xSnY?oc=5,2026-04
Is Social Media Addictive? Signs of Social Media Addiction (2026) - Sokolove Law,2026-04-14 07:00:00,Sokolove Law,https://news.google.com/rss/articles/CBMie0FVX3lxTFB4X3BsSkRWSWNTM1FzcjBnN01IbkpZZEpacTBlVE1fNzVjcDI1cWV0Mlgxa2twSnBBcnp0ZjMzTHJzanlGZkZwYXhkN0dLZTR2Vms1T0VxWEFnTjFweGpXQTVvQ3VCSGt5elVjLXgtSnFqNFRFblljYnU4NA?oc=5,2026-04
Why late night social media posting could be bad for your health - The Independent,2025-10-10 07:00:00,The Independent,https://news.google.com/rss/articles/CBMisAFBVV95cUxPZmhMTms4MGtZZnlxVmdlTVk3MTd6WGdWYWNjZ1pPVU92YTV2OXZ1WElwa1NRYXg3N2dLTXgxR3VBWmhvQjZrOGh3UGVGQnpwUDYxN3A0MmNfRlh5M05tQ241Q09GNW5uSHk1YTRXZFc4czVKMnJuNklPVkxsenJMWFEzWWo5N3RxOGx3eVZOOE8wY3c0TlhSX3ViSGhtcUlpeVM4Q1F4cGwzNWxSZUFJYg?oc=5,2025-10
Kent Cricket suspend comments on social media accounts to protect players' wellbeing - lbc.co.uk,2026-05-01 14:30:55,lbc.co.uk,https://news.google.com/rss/articles/CBMif0FVX3lxTE96REpja1VIMDhwSC13TUxVUTY4eDd4UURZTUV4QWNUQ1NNcVdiaHIxajRsbWNGeC1PWEJ1Z0NyTk03YnJEeGtKcUN5XzNtd3BCQ01xZ0FpQ0o1dGtVZXlWRjRLbHE5WkM3b2R3TUlFUmo0dGdjSGs2SUc5THJUdzA?oc=5,2026-05
Should Social Media Companies Be Held Responsible for Teens’ Mental Health Struggles? - The New York Times,2026-02-05 08:00:00,The New York Times,https://news.google.com/rss/articles/CBMizAFBVV95cUxObzVHMW44b1R4Tlo4ZjBuTTRLTlBxWjc3QU9VVjluZ2VoV2JQOGdLS1JpbTI5UUNEYlFmRV9GUXhTV1lobVhETFhjSlc4R2ZaV0lCMnA3aV9WaUZnMWZMM1hQVHhqOWQtXzlyS09ybWRMd0U1aV9qanNTOTBNYVR5b0xDb0psMnZRTlpnU0JvQWEtaW1HN1lobHIwcTB6R2VWcHFxY1FIQmdpZjc0by1LLVlkMG9IWHhJYm9PUzdteTZPLURZSVZ1OWRnbnA?oc=5,2026-02
Taking a break from social media will boost your mental health - but it won’t help loneliness - The Independent,2025-12-04 08:00:00,The Independent,https://news.google.com/rss/articles/CBMioAFBVV95cUxPZ2dwYzNCa2N1VXhvaVhNaVo5UDhmM0hGMGFma28wMEhqVU5YSnRtOUdPazk3SlpxaG1rRjdhSnUwYlJKQTNWREM4SjB4MFZURE1md2FlZ0Jzd3pYUUp3RGhoV0F1cWp6cXhQSUhlQWZfQVVoUzJRdmdoRnA3S2xjT2dGbDlaYWxkWVVQbEJmaXNOVnljejVBclBNb2hPWktB?oc=5,2025-12
"A week without social media can reduce mental health symptoms in young people, according to a study - Science Media Centre España",2025-11-24 08:00:00,Science Media Centre España,https://news.google.com/rss/articles/CBMivgFBVV95cUxQLUdvSEhBdFo5NVR3ekZHdlFGUVFwWlgzTGROOHV1SUdmWTBBWmhxU2JtR3R5djNnbWZnZEYtMVczcHFaZ3hGUW9fc1JBbmJVY2hISEZwZ0ZTcjloZm9aeHlTX0ExWE1RMVF2WmUzMzlBWEN4TWlHZUprbXNRbE5MQzhHT1l6bGx0N0pkNnVBVnByUkVEZWlqczNZcEVzODZ4Rzg2b3NZTTlXSWtNSnVSN3JOS09GVVNJSUJQWmJn?oc=5,2025-11
Is social media addictive for teens? US courts wade into scientific debate - Nature,2026-02-13 08:00:00,Nature,https://news.google.com/rss/articles/CBMiX0FVX3lxTE9sbHJTS25vRk1iZU0xTVFLbXptZ25NQWNUZWFtaVZPU2tNRHpDUzFhUTFid25zUUxmX01UMlo4Y0dFY0x1Ukp0aktCZXJCeFZGSGFhSGhyU1U2ZW1pNEpz?oc=5,2026-02
A new review combines two decades of research on social media and youth. - Psychology Today,2026-03-25 07:00:00,Psychology Today,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPTjZIcFMwSmI2OVBKYjhMbVl6VmNzbW1xazhDbTBMSFhBZVUtSVBhcktBa0NNVEw2dmk1aWd3SHN3ZGh4QnpiWk9qVHRpc2pId1ZFZTVEWnY2UVl5S09tQU94QnZZZ29RTmFQQnJHdFVuOUIxNDlKeGxMMGZ2emxnUzFQNTZuN0ZKMHp0Z2RLeTcxOUtUdnJXTWhDOTB2RFptVzFjT2thNVhQZ1AyQW1oNWRuZFh4WWd1N2ZR0gHAAUFVX3lxTE9PTE5jcnJ3MFJTeUN2d3pMWnh2NmR5bDJrY29idlBWeHRBZGFfUHV4VE5vQjJLMDNvaVNtN1ZndnhqY3BWWGQ0YUJDdzdjdTJ3d0RzNUREdExLQ1F0MHhBQklFdGZiMGRWX1JLemxhZ01uRWNrNjZkOUJwanNMZUZDYjZvRHNieHItZzlsWGxRR3l0Wkh1SDJmb1duWWJiVlhGa1h4Y0RZU1dqWmFodkdBcmpkUFB6NDFnUUZXZmpDMQ?oc=5,2026-03
TikTok settles just before social media addiction trial to begin - BBC,2026-01-27 08:00:00,BBC,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5Fek9uRnNPUmI2OGtPOGU3b3QtWVRYTUFaRVBmc2IyNHMxUkZUQTNuUVE3LWFiNlduSHc0aXQyZzBUVXdtRXZTN3JYMGFweEJEV0dDSWk1TEJUUQ?oc=5,2026-01
She spent 16 hours on Instagram in a day. It's up to a jury to decide if Meta is to blame - BBC,2026-03-14 07:00:00,BBC,https://news.google.com/rss/articles/CBMiXEFVX3lxTE1pbDlyMVNpQVZ0NWxtRzNXX2o3YUNBY3RlVy1Nb0QzazNoTm1melNzcEo2TzZoSFBuUmFRMFF3OVJSUVUzT0psaXlka3NPMFRJSE9aSE5Ya2hjZWtY?oc=5,2026-03
Study Finds Mental Health Benefit to One-Week Social Media Break - The New York Times,2025-11-24 08:00:00,The New York Times,https://news.google.com/rss/articles/CBMihgFBVV95cUxPcE5aMURvbTNsbHVCWHQyalAyQlpMMFliWGJja1Y4UmNTVnJEMG9vMzNLendDR2VCVmprRWZZQ253NGoxbXF4MENVaWFwajltR3hGNzZwZ2lpM0xoU0ExMHZCb2h6Uk9FOGxhaDdIZERsdGJTRDVJSmJfTkxoQThBRVliVTJ2Zw?oc=5,2025-11
Social Media & Your Child’s Mental Health: What the Research Says - HealthyChildren.org,2026-01-06 08:00:00,HealthyChildren.org,https://news.google.com/rss/articles/CBMiygFBVV95cUxOMDNoTWF0Y25JZ2VLYllQNFIxcmZIMjVMTXhrQUpyazl1Sk9iM0RfYjl6YlJzeC1udXN1UTNFcFE2RjI0dTU5dDVybDhyRkI2MHk0ZkxCcGpOYUREdjdwZ1RhLWIwZTlic09rUXNjcU9HdkVnVFpfdzlqb09hVG1xVmI2V0szX1VPRXoxM3doVk9raHRMalZyZEhHZHNGd2p6dWVLeXZKRy00dGZvRGJmWkxNSi1XOXAwOFZLU0tQV0p0Qkx5YWxvdllR?oc=5,2026-01
How to improve mental health safety on social media – not just for young people - michiganmedicine.org,2026-03-27 07:00:00,michiganmedicine.org,https://news.google.com/rss/articles/CBMisAFBVV95cUxObUxhQ1J2X1l2Ukh6LW03ZFA2UExiMzFOZG5LaGNZTURMeDJSY1FGM1E5cklQeEo0ZjYxNmpNRFJFZ2txRU1KRWs4RlZGUDkzejdkT0FHX21KQ01PWU5NR1VwZlRSaVVZYVY0TWI5R3dONS1ENTFTSTY5bl8yVTh3ZkI2WGV6SVhqbHlmRlJkNEhMdFRzTHgyWnNTUFRvVFhoZGVDMEs2RkFBLVN6anNqdQ?oc=5,2026-03
"Impact of social media likes, comments, or shares on teenagers in England as of March 2021, by mental health status - Statista",2025-11-26 08:00:00,Statista,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNa0tWc1ZLa2JXcmlHN2NZZk5qTWxhT01wRWw3SGdCN3h4WHFDZk42NkE0TkhpU1Q4dDhUQVFmSlJmZVlwaGVObE1sWGpJY3UtZ21MYjZVdkdJMHhTSF9QZmxhbmNTQk9pd0RiM29VQW9sYVlsTmRFdGhzMkJXbXBhSnlWaFMtdTZ0eXo0UnQtc19obmd5TkExRS1SNjB5Y0pfTUxkOThtaG16bzA?oc=5,2025-11
Expert says teenagers don't see the harm in social media - BBC,2025-09-17 07:00:00,BBC,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1rbUZQZENsWlBXajJCRV9ZNGtmR0NzbDBsSXFFTzFMYTZTUFBvcEtMMUJBM3RiRWZpd0NjQzF6OUEzazN6T3hrNFFKNUNmRlBBSFNzTkRxSVV5Zw?oc=5,2025-09
Effects of problematic social media use on depressive symptoms - Nature,2025-12-01 08:00:00,Nature,https://news.google.com/rss/articles/CBMiX0FVX3lxTE1zQmVaYVhDd3g2QXczaENxVWlVMmp5LVBsQk5Pbm9rMGRvMTlySExaaERKdk1JVUFKSmlGSkRSdUV4bThydV9OYlZPRi1MV2VRajRvSUF4RTRRTDJNSHhr?oc=5,2025-12
Prince Harry thanks bereaved families taking on social media firms - BBC,2026-02-12 08:00:00,BBC,https://news.google.com/rss/articles/CBMiWkFVX3lxTE9zWmkxZUh5SkU2SWdTNmlRZHZRaV92RGpwaWdhSDBtdVpJQVlVSVNMbnM0WmJ6MkRtc2NZbk9CS1Zkb3RMOEQ1aXVETFB4Mk95YV9Xa3M3eGMyZw?oc=5,2026-02
"Anxiety, depression: Less social media use can improve symptoms - Medical News Today",2025-12-29 08:00:00,Medical News Today,https://news.google.com/rss/articles/CBMimAFBVV95cUxNOTJTcUI5a3RrazJmNGp6dzBTWVVCdlJvSkQteF8wbWF6NThXQXNzaU5jeWlnNmpFN3hWUU5OTnFBS0o1NjN1d1FBdFVrU1VsdnZ5XzhvaTVpTGc3bVRMdGZKTWNrY1hiT24xV0t2dXp5UHQ5bTA5LV9DT0FzTkxoeWRNbFNOMkl1MlVBMVV6Qjc2QjV4U1dUYw?oc=5,2025-12
On trial: Is social media to blame for the youth mental health crisis? We checked the science - Straight Arrow News - SAN,2026-02-20 08:00:00,Straight Arrow News - SAN,https://news.google.com/rss/articles/CBMisAFBVV95cUxNWlByQVR6dU9EZlFablNSNlBNVDB5WnZLX3VacTZJSWh5MTlzbXhWcFdCNlRueGMzVUJNRzgtZ0dTdGhRclBvMWpXM1NvYWQzamxWUGxhT1RPS1Z0Z1BYdUliaTIyeVk4WGNXRllCelY0aFZPWXBIaFJtOTJneWZUbWtBZ0pyWWhHTGl4dG8zMEU1cGxhZ05vaVUwM3VaTE80SjJ1VEhhOS1WeENDQ2h5aQ?oc=5,2026-02
‘Little evidence’ social media or gaming is to blame for teenage mental health problems - The Independent,2026-01-16 08:00:00,The Independent,https://news.google.com/rss/articles/CBMirgFBVV95cUxOQk12bjlHZlh2Q21yWW1oSG9MbFlURVI1V2M4VnZkUU9Lek5rWkk2N2stajk2NXpjeG5iVWRvX3F1OXJFUGxzcXVqQy1sTFJySWJyWnRBVnRBMnA1c1RVN0YtR1VsOHlPWnJfa2YxR3duMm42OWg0NzhuRlgzazIyX0FhakVSMXZpZW9aZTBmNGFqdTN3c0FyV3NHZnJOU0dBRzJNenV1LVFmZ19pd0E?oc=5,2026-01
Posting on social media overnight linked to poor mental wellbeing – study - Yahoo Finance UK,2025-10-09 07:00:00,Yahoo Finance UK,https://news.google.com/rss/articles/CBMijwFBVV95cUxQaVhuRmxhd19iNzV5Y2gzRHBYeXM5THlSb25uRm1lSk5OMWVaMnR4T1VQUG81SXNfVG1BdkM0eFlFVC1ZU09WOVh6MzdsYTB2aU9hSTBSUVFHaFhCWjJZQVhDT0dwWXhmckp3a1Nld3Z3YjBnRkkwb3JWRmNnZGxjZEp3aUpBVkp1VTBkWUJadw?oc=5,2025-10
Brief exposure to negative news can worsen anxiety; repeated exposure compounds stress. - Psychology Today,2026-01-22 08:00:00,Psychology Today,https://news.google.com/rss/articles/CBMivwFBVV95cUxPOFFmX2NWczIxRkJPX1QyTlRQdEJWYlpwZnJHSzZFSU1GS2lIMEhZbjNvcll5bzZrRURGaHpySmhSWVdPSTdMcHBqRzFkaFNRWlRLN1E4YVhuRDRRWk5yUkdlWFkyeFh2WUs1bUJVMDNNUlEwcVN2c19WOWlMUmFBWlYwcHBHcWNtbC1vY2dMQlYtY2piRnNoOG5tdGlQVHVxTTY5aWhIYUZKMS1ERFA2LS0zY0p6Y1V4bWVsOW1TUdIBxAFBVV95cUxQZUNaMGVrZmI5a0ExRWpQX18xMVhoakZVbWYtcmNHaFg0OElzUHdmdVdzaFoyNzVtanBtZzdOZWVsZ0xQZmoxN2wxNWxWbENjY0tfdDdYdTVpR0ltRUxyQnhQRGRZalpCMEVCOWpHRVN6LTV1dElCQWJuSDh5NnhHQlFMZWxIVzl4V2xhSHFuUDhOQmhaSEEtX2RSRXp5V0xSTHpwdzhPM1hrcDVSRnptdFBqMUIzb0NHM3pRTU9mYV96WUlD?oc=5,2026-01
"Social Media Poses Risks to Children's Mental Health, Review Concludes - U.S. News & World Report",2026-03-20 07:00:00,U.S. News & World Report,https://news.google.com/rss/articles/CBMixwFBVV95cUxQY052OUhLQTBweHhJVmEzVktCTkxNMTZ4SVRuWEItWWhyTklYbldCbmg3YTVHQ1R2Sk9LQmZZV0dGRERKNnUtaWpXMkhFNWdkWlgxT3R6bjNzRjJReGhEN2Y2SVlGTnVNOG8wc0JJaVllLUhVcVBuZnZhb3kyT29OaUlWRDhfcW4tMkdIMFpuWlFTRzctdE0wdzhDYzJMcmxIUVFrSmFGdlhmcGJHQUR3b0xVSlNURnV5NGRaQzBLUmVQSVpOWjE4?oc=5,2026-03
"Teens’ Experiences on TikTok, Instagram and Snapchat - Pew Research Center",2026-04-15 07:00:00,Pew Research Center,https://news.google.com/rss/articles/CBMioAFBVV95cUxNeVp1MldudGpFQS1rbEYwQzZHSVhKTmN6QlpBSXBHbFQ4VF9qLXQ0dXZyeEhVU0xGbUZua3VFLXNYNVFtUV9rQ3psem9sOU1sN2lKWTZ0Y1dIYmliZkQ3dHR3czVhU2VrY2dPWmIycWtnRXAxTjlac0ZUWHdIZVNKRzNkMVpHd2lJQkxNYnpFS0tqbmZ3VWhJckhFRWRFRzht?oc=5,2026-04
Neuroscience explains why teens are so vulnerable to Big Tech social media platforms - The Conversation,2026-04-02 07:00:00,The Conversation,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPeGhJZkl6OS0xdEJnWERlc1VucjJsRThqV1ZTNHdMZHNrVTQ3akpFSFF6dFlxTF9EU2dUSUxCZ2dYcE01THVqQWVmYTNzVGpEMk1WMm5iYlZ5eGJvZS10b2pUZERQMHZwOGJiNHl2MGdXLXZIQ2JjMk82cHpxVkIwc3FodHBQVHBqbzA3YkdlbHBCU2EtaTBkS1JsdVhlTHRsdE8yOW5jSlF2SzR0QkNNc0J6VXROaVVJNmFj?oc=5,2026-04
Child and Adolescent Mental Health | ACAMH Journal | Wiley Online Library - Wiley,2025-09-10 07:00:00,Wiley,https://news.google.com/rss/articles/CBMic0FVX3lxTE5fVTM2dHNSSFpsYXc5eGE4R1BRM3FpVnRZY3R2enF6TnBFT0FXVndyMEtOYy1ia1psREtubHgxbm55S183VFRwX2hCWUh6ODN6azlEajVoYjZjNHJFRkQzaG1qaHhfNkI3enVaOHpTVEJaTms?oc=5,2025-09
Research points to how companies could make social media less addictive for teens - NPR,2026-03-27 07:00:00,NPR,https://news.google.com/rss/articles/CBMihwFBVV95cUxPWFRjVWFOUEhYcjZXS0FlVUxuelY4TExOYzIzdXBnTlhEeGZ3d2QxUi12czFERUJPUVpqSUFzckoxSWc1T2JlYUhJY2dyZFhPSWx6RHV1WmlTaDN3dUF0V3JqR0xpelNPdmNrUFBuSGFFUUl5U1JPRnN5a1hSZ2VFSmlsYnNjRm8?oc=5,2026-03
"Exposure to fake news on social media, coping mechanisms, and mental health impact among Vietnamese adolescents and young adults - Nature",2025-10-08 07:00:00,Nature,https://news.google.com/rss/articles/CBMiX0FVX3lxTE5jTVVsX2c4ZDRMeDF0aE1mNkw0RGczSEp6M2ZkU1JEMUpGeTVrc2s2X19jejM4UDY2NnNXMThFNnE0ZEhIN3BqOG91YllDUXM2SXhQanNqenJ0b2wzZUNN?oc=5,2025-10
The associations between social comparison on social media and young adults’ mental health - Frontiers,2025-08-07 07:00:00,Frontiers,https://news.google.com/rss/articles/CBMikgFBVV95cUxNN0I4LWE1SE50STZEVWdGZy1keUxSQ18yLXU0bXBFbFYzU3kxU2tNOXB4WXJuUmM3ckJPWUIyY21Ka3lGTWZsWHFhZXN6dng2eHUxR2VscDBEaFJ1djBmVHgxTlQ4WFlobW9TUldnR000SWh2dHZFUmNkNk8yNmxmcS1wMlpteThMck9TbWpDX0toUQ?oc=5,2025-08
"Autism Misinformation Widespread On Social Media, Study Finds - Disability Scoop",2026-05-01 02:37:59,Disability Scoop,https://news.google.com/rss/articles/CBMirwFBVV95cUxPU3pOdmFPc3N4TldEQmYyZmVabDdvTllDUU80aVkxLXhFcW05RklZakYzZG9QaXV2eEswU01KMkRiVnR6YWRkQ3pDdUZqeFZYVG41NWhfQlluWjBpSlAwWWdsbUZtNk0weVE4OUVZWkhBcEhRS2tWSFJjY1RzdjFkSnlHXzdLbmlBV1p5Nm1kWFlHaDZ3Vlc1cnEzQ3FmdUdOTWRPZnFvQl84NXpnM1JB?oc=5,2026-05
This Is How Fast a Social Media Detox Can Boost Your Mental Health - SELF Magazine,2025-11-26 08:00:00,SELF Magazine,https://news.google.com/rss/articles/CBMiekFVX3lxTFBURVRSSDRWQVBmdjNmTjFydGFCWmtyUUp2VUx0cXZhQ0RiaWhiel9OS0I3dmxKQ3czSXRhcHMwWjhtb3d3b3IzUzMxcjgyNHYwMTVhRF9tV2d1YTNpNXRXSDNMcUtVTnc1Z0pxWjRkM1JzRVVjX2JsY0h3?oc=5,2025-11
Social Media Detox: How to Unplug for Better Mental Health - CNET,2026-04-05 07:00:00,CNET,https://news.google.com/rss/articles/CBMieEFVX3lxTE9yV1hGTEk1UmNKX1Z3ejZlLXo3VEVoNTVhM2tSeDRKMWtnS2VJdlpfdFdiQmw0NUFoQ1pSbUpITzNTRGpTM01SWHdxYlloRjR0Z0l3N29sSnZBa2tTODJMUjRZNVh3ZEt6WmpiYTFGYTlWT3RLZlh5Sg?oc=5,2026-04
The effects of social media addiction on college students’ psychological anxiety: the mediating role of self-efficacy and coping styles - Frontiers,2025-10-27 07:00:00,Frontiers,https://news.google.com/rss/articles/CBMikgFBVV95cUxOZTNTa1VZZWJnS0hiaXp6T0JaVEZIUlRLUVVQbGJwTDlYMEhqeDNjVEFiM3lwNzVSVVdVbHYwdGdQQ1YtR2hlWkJ6cTFKNzNZSmhFLXk1UlU2RnRFMTM5ODRUVGpyV2VvdlRGZ2czd0dsNm5kSmR4QVBhZHJIMTBDc3NIclh5QUpNR0hPOVNnclV6dw?oc=5,2025-10
What doctors wish patients knew about social media’s health impact - American Medical Association,2026-03-20 07:00:00,American Medical Association,https://news.google.com/rss/articles/CBMiugFBVV95cUxOM3BrQUNYUUpSOEc0RUtNcjJvLUM2ZDdnajVkM0w5X0JsNUxhZFkyLU5iWFU0aVFIUU5yQ2dvTVBvaERSNWpxMkxaS2pwSmIya2p6SWZYLWFETDdFWWRNM2VZa1VTQmZwUUNzVmd2aWxvNWN3OGhiNDhKNmkyM21xX0ZmLXhiZ0ZteTNvVHVnOExDTnhpQWc3NzE5MTF2aG10bGxMVVFyeVlGMlItN2VSSDJ3VnV1TVg1UVE?oc=5,2026-03
Australia’s world-first social media ban is a ‘natural experiment’ for scientists - Nature,2025-12-11 08:00:00,Nature,https://news.google.com/rss/articles/CBMiX0FVX3lxTE53aEJUOUsxV2NXLXktTlVxdHR3eFU3aTVHUjB3MG9qS3dnbk93ZGNfYWpNNy1iVzVfRnFOSEZHejhZTEtaQTVsRk51S2JBdWhjc3hpT3lQc2tPOTctVkVB?oc=5,2025-12
Is a News and Social Media Overload Negatively Affecting Your Mental Health? - Boston University,2025-10-17 07:00:00,Boston University,https://news.google.com/rss/articles/CBMilwFBVV95cUxPMlBlbU41dFhGd0VXR0U5SkdHRDFzVWhsR1NuNTU3ZEJJa0cwOW9BTkJLcDJYU3dDLXM4Vm1pOGFxVklqN25KWExMc0cwNlo2OVBNNU83aUdMYndsLVZCclBKUGdYdVlsZ2lqTUhlX2xKN250ckZZTGFIaFh3WS16dFlmQnJYZTlVUEN4QWR5cmVpT3k0bl80?oc=5,2025-10
"A short social media detox improves mental health, a study shows. Here's how to do it - NPR",2025-12-02 08:00:00,NPR,https://news.google.com/rss/articles/CBMilAFBVV95cUxQOGIyV3NsUGwtV1NWQjlmN1BheTVtSFZEcFNkaGc3QUs4bVNTWHd3ajBZdE5RZmxUU1l3UC0wcEtKcUFuaVVaUEI1S3FiUGZybFctM1h0YzJUYXRnazlDNUhlZGNHdHdla0NuTGo2Vm83MFhMLVVQNmhMb0t5VlZhdDBLVGZDRnZEamM1blZDYm9zMDU1?oc=5,2025-12
Disconnect to reconnect: social media's mental health toll - Meer | English edition,2025-11-06 08:00:00,Meer | English edition,https://news.google.com/rss/articles/CBMijwFBVV95cUxQVjNSbWFzdEIydXhIdnphUW9JczUtdUNZdlVKd3RvNXNsUG1RTWRxZ0xtd0lqb3lsN05YUFlBTG1rdHJoS2JUWUZFQzNUbklaLXpyMURzUld3REN3eFdCZy03WEZNNDV4Sm9yMWUzM2hsMnYwVWU2MjVocFVILV9lQkpGblJfX0t1X3hqSGQwSQ?oc=5,2025-11
