title,date,source,link,month
Social media and children’s mental health - Centre for Mental Health,2026-02-03 08:00:00,Centre for Mental Health,https://news.google.com/rss/articles/CBMiigFBVV95cUxOQllKLV82RDZiQl9zMVFjTGRjSUl2SWo1bjdYazR2Y015eGdHR1lfUkZFbTlpUFdfeVUzWnBDa2ZWTG5zVkxVQmRDSE5HVENUVVJKeU5yT1FZLWNNUGFYUVZ3T2RQUWxBZHFxMkRVMjVkc29ZQjNhZWRlS2NQa3lxTDR6SGJ1QzdETnc?oc=5,2026-02
"Social media is boosting mental health disorders and suicidal thoughts among teens, particularly in girls - The Conversation",2026-01-28 08:00:00,The Conversation,https://news.google.com/rss/articles/CBMi1gFBVV95cUxNSDd6RGRLeWJBYXkwSzlGQ0lCTEhsSlN0dGpieUNkRUo3U09XbUNHX0xNbERORXBxeElwOUtjQ0J0YU5qTGFxV01PSGhSZTBZZTB1ZzVQQ0xJeWtZeFl1WkVXNFdvSzE2aHNnRVN1OFMyWm1reHpjSm9ISmJxQXlZNk00eVlUV280cVNyc1JmbERTcmgyWk8ySkpuUVFfenRReXVrejlBUGx5VFlldjYtM1k5b3V1ZEdrUVFoaE1uSDJpSjBvQUEwMlFCN284WUxzMGlmZVdR?oc=5,2026-01
Meta and Google liable for social media harm to children’s mental health in landmark US case - Financial Times,2026-03-25 07:00:00,Financial Times,https://news.google.com/rss/articles/CBMihAFBVV95cUxOcmdSOTdZc1RYbXlsZWdrc1BCenljdnZLcFNkRm1RYVI3emFpTFFtVUg4VGdtZ1NuMVBQbHVHN1NZbXYzRUkzeTRoYUN6MFE1THRoSkNRMHVHWUo3ZGIwSjVTUEx4ZHJlWGVMNndJbUdIYjQ4eU9TSDVMR1hzeks0cDh2VTQ?oc=5,2026-03
New study challenges link between social media and mental health - The Independent,2026-01-17 08:00:00,The Independent,https://news.google.com/rss/articles/CBMimwFBVV95cUxNV181b0Y4NUQ4MzA4MEkxRWtKMFlzbFluc1ptYW5HSURfOE82Q0hIWjcySDhIWDh0SWVSdEhCejRaaWdFWVEzcThRNzFULTJoaDludHhqMTdmdG4wRzBpajJRd3huVGlNZGlaVEtseG5lNUpFUUIwZXBlY2xyclVXcENYdHNKNEpyOFkyZHJ4MUd5RUtXZEpVc2ZWWQ?oc=5,2026-01
Our bold new recommendations for the proposed under-16s social media ban - Mental Health Foundation,2026-04-02 07:00:00,Mental Health Foundation,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQLUZpLVcwdHZTTjhUaVB5MGxuWDFYZFAtemhOX1ZvSm1RNmJkR2psZnJ5cTFJclFsVlZnZHZMZ0JicUJTUVplOFhwTEtfUTFiWE9KbGhtbUtpU2dfRlRKZjZtVFlkRTJ5N1R1LWs2WVEzX082Vnhaa0psQmNTclNxbERTTE53MG9DUGdKUkVQRHRrV3hVUzlpbmp4RDFiLXBfRWo4cnkyRVlZU3BEa1hrQXU3OTZSVm5OeGItdGsyWUxfQQ?oc=5,2026-04
"Instagram worse for mental health than WhatsApp, global study finds | Social media - The Guardian",2026-03-18 07:00:00,The Guardian,https://news.google.com/rss/articles/CBMipgFBVV95cUxNdlBSbVhNenNaRENybGZScWc4SVotMzlaMlhpa0hJenlGT0hWalFyR3VKdl9HaDB5MmN5cVkydnJlcXgyR0pPVnV5eUFVU1BUVl9SWTgtbGR3eDNNbl9ObF83S1hKWU9jeVNvM3pPWjJLTHZlNC1RczdZZE44eXM1WkVxSlBqbktKSFA3RmlfZmZ3VGJqN3VjOVllclpWWW9zUHNaWGZ3?oc=5,2026-03
Our study looked at teens’ social media behaviour in 43 countries – those from disadvantaged backgrounds face greater harms - The Conversation,2026-04-30 09:38:09,The Conversation,https://news.google.com/rss/articles/CBMi6wFBVV95cUxNbThETmlHWWh6VUYxMzJzR0hDLXN6WjFPOTdoMDBacXBIeG16Q0VvcGlaRmRkQUlmYWxHMGZaS3JPak5GNjAwOENLTnVMcGpxaDgyQzhtQ1BDN2N2ZlVhYm1rVzJxczhleEZ0T2pSSFVSRjdUOGtnOWdJRHpfOHNWUGlucnQwWGNXUmE0bTZlLUUtczZmQi1pYlRpM054a3NVaW5hNDd0bXRFT0h1VDZWcjRHWTV3LU4yU0tDRUVTdUFpQUk0TWUzcVlmUy1Cdzg2NTQwMEZlSzE3UW5laWd6YUFKaEJwLWs2SUtB?oc=5,2026-04
Social media time does not increase teenagers’ mental health problems – study - The Guardian,2026-01-14 08:00:00,The Guardian,https://news.google.com/rss/articles/CBMivAFBVV95cUxNODZVVGlxRjh2eXJRTElhTnRUM2xhWWQzWkNUcU92WnNkMzVWMnkxTE5UMVpKREl0X0E1Y3IyRFhqRi1pcVlkS2pCZFpoNXA5c05EWTdwT3Rqb19fWFJwbU9jcTRYWmRORXFIc3BsUkw3SUhod1VjZ0lXbVFIdGdLc05wZHFNTlg2VU81UzBHQ0VvQy0xT2dtdUNNY0RPSDFCRERiazZiUjIxRnN4ajBkZmdwTjlNVzNKRkhYMA?oc=5,2026-01
Study links children’s social media use with anxiety and depression in teenage years - The Guardian,2026-03-22 07:00:00,The Guardian,https://news.google.com/rss/articles/CBMilwFBVV95cUxOaTBrZGZSNmtlVHRTOHc5RW4yb2xTZmxOUjVwQXFnOU5sSlhOUVdwSGdUbndpcEN2dlFDZ0VwVTVzVGxzTTVpRHd2MVJuN2JrazE1VVd0TTUyelViZzVrdUFES2toQk16VGVkMGJ1VkRxUW5XRlBYeEJZUjZYM0NLb3hZLS0tcWhPQ3NxNGxjbC01RnVaM2w4?oc=5,2026-03
Social media companies are being sued for harming their users’ mental health – but are the platforms addictive? - The Guardian,2026-02-09 08:00:00,The Guardian,https://news.google.com/rss/articles/CBMiggFBVV95cUxOUno1dzUtb1hIcWVKdHVhTVlEbEpNX2hpODl2QUNYMmFyekppb09HLUxlLWx4NjNmUHozRGZKTEhvWmk0bE5VVUlaZkVsVWFEQVNXaXBrYkFmOUFZNXpZWl91Zi0xaEk5NW1XX0t0SzNwc0I4RG9YM09ZRTg5NlVJZ0FR?oc=5,2026-02
